,date,agency,location,description
3,5-4-2022 9:17 AM,Wilmington Police,800 BLOCK SW BROOM ST,ROBBERY/CARJACKING/GUN HIGHWAY/STREET/ALLEY
4,5-4-2022 7:58 AM,Wilmington Police,700 BLOCK NE HARRISON ST,VEHICLE THEFT LOCALLY STOLEN-LOCALLY RECOVER
5,5-4-2022 7:03 AM,Wilmington Police,2700 BLOCK SPEAKMAN PL,LARCENY/FROM VEHICLE/NOT ATTACHED
6,5-4-2022 12:15 AM,Wilmington Police,ON EASTBOUND LINCOLN STREET SR2 23.17 FEET NORTH EAST FROM,DRIVING UNDER THE INFLUENCE/LIQUOR
7,5-3-2022 8:07 PM,Delaware State Police,1200 BLOCK CENTERVILLE RD,THEFT/FALSE PRETENSE OR PROMISE
8,5-3-2022 8:03 PM,Wilmington Police,300 BLOCK MADISON ST,VEHICLE THEFT LOCALLY STOLEN-LOCALLY RECOVER
9,5-3-2022 6:19 PM,Delaware State Police,900 BLOCK CENTRE RD,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED
10,5-3-2022 4:40 PM,Wilmington Police,100 BLOCK NE LINCOLN ST,LARCENY/FROM VEHICLE/NOT ATTACHED
11,5-3-2022 3:38 PM,Wilmington Police,2700 BLOCK HARRISON ST,LARCENY/FROM BUILDING
12,5-3-2022 2:45 PM,Delaware State Police,1200 BLOCK CENTERVILLE,THEFT/FALSE PRETENSE OR PROMISE
13,5-3-2022 2:24 PM,Delaware State Police,1200 BLOCK S CENTERVILLE RD,THEFT/FALSE PRETENSE OR PROMISE
14,5-3-2022 2:09 PM,Delaware State Police,3200 BLOCK KIRKWOOD HWY,LARCENY/SHOPLIFTING
0,5-3-2022 1:46 PM,Delaware State Police,4000 BLOCK S NEW CASTLE AVE,THEFT/BUS/TRUCK
1,5-3-2022 9:37 AM,Wilmington Police,ORANGE SW ST & W. EIGHTH ST,HARASSING COMMUNICATION/PHONE/WIRE/MAIL ONLY
2,5-3-2022 7:24 AM,Wilmington Police,200 BLOCK NE DELAMORE PL,DAMAGE/PRIVATE PROPERTY
3,5-3-2022 5:46 AM,Wilmington Police,1000 BLOCK DELAWARE AVE,VEHICLE THEFT LOCALLY STOLEN-RECOVERED OTHER
0,5-17-2022 11:07 PM,Wilmington Police,300 BLOCK SW HEALD ST,DAMAGE/PRIVATE PROPERTY
1,5-17-2022 9:03 PM,Wilmington Police,1200 BLOCK NW LANCASTER AVE,DAMAGE/PRIVATE PROPERTY
2,5-17-2022 8:57 PM,Wilmington Police,800 BLOCK KIRKWOOD ST,AGGRAVATED ASSAULT/NON-FAMILY FIREARM
3,5-17-2022 8:00 PM,Wilmington Police,600 BLOCK N HARRISON ST,CARRYING PROHIBITED
4,5-17-2022 3:47 PM,Wilmington Police,200 BLOCK 28TH ST,BURGLARY/FORCED ENTRY/RESIDENCE
5,5-17-2022 2:02 PM,Delaware State Police,3600 BLOCK SW MILLER RD,LARCENY/SHOPLIFTING
6,5-17-2022 12:29 PM,Wilmington Police,1900 BLOCK MARKET ST,LARCENY/FROM BUILDING
7,5-17-2022 12:09 PM,Wilmington Police,300 BLOCK 5TH ST,ROBBERY/CARJACKING/STRONG-ARM RESIDENCE
8,5-17-2022 11:59 AM,Wilmington Police,1200 BLOCK 13TH ST,FRAUD BY WIRE
9,5-17-2022 11:45 AM,Wilmington Police,2900 BLOCK S NORTHEAST BLVD,LARCENY/FROM ALL OTHER YARDS
10,5-17-2022 11:16 AM,Wilmington Police,500 BLOCK S BROOM ST,VEHICLE THEFT
11,5-17-2022 11:00 AM,Wilmington Police,300 BLOCK N 29TH ST,SIMPLE ASSAULT/NON-FAMILY/OTHER ASSAULTS/NON-AGGRAVATED
12,5-17-2022 9:42 AM,Wilmington Police,200 BLOCK N CEDAR ST,BURGLARY/NO FORCED ENTRY/RESIDENCE
13,5-17-2022 9:11 AM,Wilmington Police,500 BLOCK VANDEVER AVE,LARCENY/FROM ALL OTHER YARDS
14,5-17-2022 9:03 AM,Wilmington Police,300 BLOCK S JUSTISON ST,LARCENY/FROM ALL OTHER YARDS
0,5-17-2022 7:19 AM,Wilmington Police,600 BLOCK VAN BUREN ST,LARCENY/FROM VEHICLE/NOT ATTACHED
1,5-17-2022 4:57 AM,Wilmington Police,400 BLOCK SE M.L. KING JR. MEM HWY,VEHICLE THEFT LOCALLY STOLEN-RECOVERED OTHER
2,5-17-2022 1:37 AM,Delaware State Police,ON OLD DUPONT ROAD 145.98 FEET NORTH FROM S. DUPONT ROAD S,DRIVING UNDER THE INFLUENCE/LIQUOR
3,5-16-2022 5:55 PM,Wilmington Police,2500 BLOCK NE N. JEFFERSON ST,AGGRAVATED ASSAULT/NON-FAMILY FIREARM
4,5-16-2022 5:35 PM,Wilmington Police,600 BLOCK WASHINGTON ST,SIMPLE ASSAULT/NON-FAMILY/OTHER ASSAULTS/NON-AGGRAVATED
5,5-16-2022 4:56 PM,Wilmington Police,500 BLOCK WALNUT ST,LARCENY/SHOPLIFTING
6,5-16-2022 1:04 PM,Wilmington Police,500 BLOCK WALNUT ST,VEHICLE THEFT
7,5-16-2022 12:56 PM,Wilmington Police,1100 BLOCK MAPLE ST,BURGLARY/FORCED ENTRY/RESIDENCE
8,5-16-2022 12:42 PM,Wilmington Police,300 BLOCK S S. HARRISON ST,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED
9,5-16-2022 8:44 AM,Wilmington Police,1300 BLOCK SW CLIFFORD BROWN WALK,LARCENY/FROM VEHICLE/NOT ATTACHED
10,5-16-2022 8:00 AM,Wilmington Police,700 BLOCK 34TH ST,DAMAGE/PUBLIC PROPERTY
11,5-16-2022 4:55 AM,Wilmington Police,1300 BLOCK SE READ ST,THEFT/OTHER MOTOR VEHICLE
12,5-16-2022 3:34 AM,Wilmington Police,3400 BLOCK MARKET ST,DAMAGE/BUSINESS PROPERTY
13,5-15-2022 7:53 PM,Wilmington Police,2400 BLOCK JESSUP ST,AGGRAVATED ASSAULT/NON-FAMILY FIREARM
14,5-15-2022 6:50 PM,Wilmington Police,000 BLOCK N CORBIN CT,DAMAGE/PRIVATE PROPERTY
0,5-15-2022 5:51 PM,Delaware State Police,3200 BLOCK KIRKWOOD HWY,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED
1,5-15-2022 4:23 PM,Wilmington Police,000 BLOCK 24TH ST,DAMAGE/PRIVATE PROPERTY
2,5-15-2022 12:57 PM,Wilmington Police,2700 BLOCK S 6TH ST,DAMAGE/PRIVATE PROPERTY
3,5-15-2022 12:06 PM,Wilmington Police,800 BLOCK SW N. MARKET ST,LARCENY/FROM VEHICLE/NOT ATTACHED
4,5-15-2022 9:48 AM,Wilmington Police,N. WEST NE ST & 26TH ST,LARCENY/FROM ALL OTHER YARDS
5,5-15-2022 9:42 AM,Delaware State Police,1200 BLOCK CENTERVILLE RD,THEFT/FALSE PRETENSE OR PROMISE
6,5-15-2022 7:30 AM,Wilmington Police,700 BLOCK JACKSON ST,DAMAGE/PRIVATE PROPERTY
7,5-14-2022 11:34 PM,Wilmington Police,000 BLOCK 24TH ST,DAMAGE/PRIVATE PROPERTY
8,5-14-2022 9:18 PM,Wilmington Police,100 BLOCK 24TH ST,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED
9,5-14-2022 7:10 PM,Wilmington Police,1200 BLOCK N MARYLAND AVE,CARRYING PROHIBITED
10,5-14-2022 6:28 PM,Wilmington Police,1800 BLOCK FOURTH ST,VEHICLE THEFT LOCALLY STOLEN-RECOVERED OTHER
11,5-14-2022 6:07 PM,Delaware State Police,3300 BLOCK SE LANCASTER PIKE,LARCENY/SHOPLIFTING
12,5-14-2022 4:50 PM,Delaware State Police,1200 BLOCK CENTERVILLE RD,LARCENY/FROM ALL OTHER YARDS
13,5-14-2022 4:31 PM,Delaware State Police,3200 BLOCK KIRKWOOD HWY,LARCENY/SHOPLIFTING
14,5-14-2022 2:47 PM,Wilmington Police,2400 BLOCK NORTHEAST BLVD,LARCENY/FROM BUILDING
0,5-14-2022 2:45 PM,Wilmington Police,800 BLOCK SW N. MARKET ST,"ROBBERY/CARJACKING/STRONG-ARM COMMERCIAL HOUSE(EXCEPT C,D,F)"
1,5-14-2022 2:18 PM,Wilmington Police,800 BLOCK FRANKLIN ST,FRAUD/ILLEGAL USE OF CREDIT CARDS
2,5-14-2022 1:15 PM,Wilmington Police,1000 BLOCK ADAMS ST,BURGLARY/FORCED ENTRY/RESIDENCE
3,5-14-2022 11:05 AM,Wilmington Police,700 BLOCK S 7TH ST,LARCENY/FROM BUILDING
4,5-14-2022 10:51 AM,Wilmington Police,400 BLOCK SE DELAWARE AVE,LARCENY/FROM VEHICLE/NOT ATTACHED
5,5-14-2022 10:08 AM,Wilmington Police,400 BLOCK N 7TH ST,DAMAGE/PRIVATE PROPERTY
6,5-14-2022 9:37 AM,Wilmington Police,3000 BLOCK NORTHEAST BLVD,LARCENY/FROM BUILDING
7,5-14-2022 8:24 AM,Wilmington Police,1000 BLOCK 27TH ST,LARCENY/VEHICLE PARTS/FROM AUTO/ATTACHED
8,5-14-2022 8:04 AM,Wilmington Police,1700 BLOCK NE PINE ST,DISTURBING THE PEACE/PUBLIC NUISANCE
9,5-14-2022 4:26 AM,Wilmington Police,ON BEECH STREET 30.69 FEET SOUTH EAST FROM I-95 I95 WITHIN,DRIVING UNDER THE INFLUENCE/LIQUOR
10,5-14-2022 2:22 AM,Delaware State Police,ON LEA BOULEVARD 209.60 FEET NORTH WEST FROM OLD LEA BOULE,DRIVING UNDER THE INFLUENCE/LIQUOR
11,5-14-2022 2:02 AM,Delaware State Police,4300 BLOCK S GOVERNOR PRINTZ BLVD,DAMAGE/BUSINESS PROPERTY
12,5-13-2022 11:13 PM,Wilmington Police,1700 BLOCK SE LOVERING AVE,INTIMIDATION/RECKLESS ENDANGER/TERRORISTIC THREAT/HARASSMENT/OTHER ASSAULTS/NON-AGGRAVATED
13,5-13-2022 9:43 PM,Wilmington Police,800 BLOCK CHURCH ST,AGGRAVATED ASSAULT/NON-FAMILY OTHER DANGEROUS WEAPON
14,5-13-2022 9:10 PM,Wilmington Police,900 BLOCK CLIFFORD BROWN WALK,INTIMIDATION/RECKLESS ENDANGER/TERRORISTIC THREAT/HARASSMENT/OTHER ASSAULTS/NON-AGGRAVATED
0,5-13-2022 8:23 PM,Delaware State Police,2000 BLOCK KIRKWOOD HW,LARCENY/SHOPLIFTING
1,5-13-2022 7:53 PM,Wilmington Police,2100 BLOCK WASHINGTON ST,LARCENY/FROM BUILDING
2,5-13-2022 7:26 PM,Wilmington Police,2400 BLOCK BAYNARD BLVD,AGGRAVATED ASSAULT/NON-FAMILY FIREARM
3,5-13-2022 7:06 PM,Wilmington Police,900 BLOCK SE LINDEN ST,DAMAGE/PRIVATE PROPERTY
4,5-13-2022 5:03 PM,Wilmington Police,3700 BLOCK WASHINGTON ST,DAMAGE/PRIVATE PROPERTY
5,5-13-2022 4:09 PM,Wilmington Police,100 BLOCK 18TH ST,CARRYING PROHIBITED
6,5-13-2022 3:57 PM,Delaware State Police,1200 BLOCK SE CENTERVILLE RD,LARCENY/SHOPLIFTING
7,5-13-2022 3:38 PM,Wilmington Police,1200 BLOCK 4TH ST,BURGLARY/FORCED ENTRY/NONRESIDENCE
8,5-13-2022 2:37 PM,Wilmington Police,900 BLOCK S MARKET ST,ROBBERY/CARJACKING/STRONG-ARM BANK
9,5-13-2022 1:05 PM,Wilmington Police,FRANKLIN / MAPLE S ST & MAPLE ST,LARCENY/FROM ALL OTHER YARDS
10,5-13-2022 12:08 PM,Wilmington Police,000 BLOCK 24TH ST,AGGRAVATED ASSAULT/NON-FAMILY FIREARM
11,5-13-2022 11:58 AM,Wilmington Police,100 BLOCK N 11TH ST,LARCENY/FROM VEHICLE/NOT ATTACHED
12,5-13-2022 10:26 AM,Delaware State Police,1000 BLOCK MARKET ST,AGGRAVATED ASSAULT/NON-FAMILY KNIFE/CUTTING INSTRUMENT
13,5-13-2022 10:14 AM,Delaware State Police,100 BLOCK N PIGEON POINT RD,VEHICLE THEFT LOCALLY STOLEN-RECOVERED OTHER
14,5-13-2022 7:58 AM,Wilmington Police,2700 BLOCK S 3RD ST,DAMAGE/PRIVATE PROPERTY
0,5-13-2022 7:03 AM,Wilmington Police,700 BLOCK N ORANGE ST,LARCENY/FROM VEHICLE/NOT ATTACHED
1,5-13-2022 6:03 AM,Delaware State Police,3600 BLOCK MILLER RD,LARCENY/SHOPLIFTING
2,5-13-2022 2:30 AM,Wilmington Police,ON SOUTHBOUND NORTHEAST BOULEVARD US13 AT THE INTERSECTION O,DRIVING UNDER THE INFLUENCE
3,5-13-2022 12:45 AM,Wilmington Police,400 BLOCK SW CLAYMONT ST,DAMAGE/PRIVATE PROPERTY
4,5-13-2022 12:26 AM,Wilmington Police,600 BLOCK MADISON ST,INTIMIDATION/RECKLESS ENDANGER/TERRORISTIC THREAT/HARASSMENT/OTHER ASSAULTS/NON-AGGRAVATED
5,5-12-2022 11:49 PM,Wilmington Police,400 BLOCK SPRUCE ST,ROBBERY/CARJACKING/GUN RESIDENCE
6,5-12-2022 7:50 PM,Wilmington Police,MAPLE NW ST & S. HARRISON ST,AGGRAVATED ASSAULT/NON-FAMILY FIREARM
7,5-12-2022 6:46 PM,Wilmington Police,700 BLOCK SE SEVENTH ST,SIMPLE ASSAULT/NON-FAMILY/OTHER ASSAULTS/NON-AGGRAVATED
8,5-12-2022 6:00 PM,Delaware State Police,3200 BLOCK KIRKWOOD HWY,LARCENY/SHOPLIFTING
9,5-12-2022 5:54 PM,Wilmington Police,500 BLOCK 14TH ST,DISORDERLY CONDUCT/UNRELATED TO LIQUOR
10,5-12-2022 4:41 PM,Wilmington Police,1000 BLOCK SE SEVENTH ST,LARCENY/FROM VEHICLE/NOT ATTACHED
11,5-12-2022 4:35 PM,Wilmington Police,700 BLOCK S LINCOLN ST,FALSIFYING/TAMPERING WITH BUSINESS DOCUMENTS
12,5-12-2022 4:05 PM,Wilmington Police,400 BLOCK 3RD ST,CARRYING PROHIBITED
13,5-12-2022 3:45 PM,Wilmington Police,1300 BLOCK 4TH ST,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED
14,5-12-2022 2:53 PM,Wilmington Police,200 BLOCK STROUD ST,VEHICLE THEFT LOCALLY STOLEN-LOCALLY RECOVER
0,5-12-2022 2:41 PM,Wilmington Police,300 BLOCK HARRISON ST,LARCENY/FROM BUILDING
1,5-12-2022 1:12 PM,Delaware State Police,3100 BLOCK KENNETT PIKE,CARRYING A CONCEALED DEADLY WEAPON/DEADLY INSTRUMENT/CCDW/CCDI
2,5-12-2022 12:10 PM,Delaware State Police,3600 BLOCK SW MILLER RD,LARCENY/SHOPLIFTING
3,5-12-2022 11:06 AM,Delaware State Police,NEWPORT PIKE & LATIMER ST,VEHICULAR ASSAULT/NO INTENT/OTHER ASSAULTS/NON-AGGRAVATED
4,5-12-2022 11:03 AM,Wilmington Police,800 BLOCK 9TH ST,VEHICLE THEFT LOCALLY STOLEN-LOCALLY RECOVER
5,5-12-2022 10:59 AM,Wilmington Police,500 BLOCK NE DUPONT ST,LARCENY/VEHICLE PARTS/FROM AUTO/ATTACHED
6,5-12-2022 10:41 AM,Wilmington Police,000 BLOCK BUENA VISTA ST,DAMAGE/BUSINESS PROPERTY
7,5-12-2022 9:26 AM,Wilmington Police,1200 BLOCK SE 2ND ST,LARCENY/FROM ALL OTHER YARDS
8,5-12-2022 9:00 AM,Wilmington Police,200 BLOCK S 11TH ST,LARCENY/FROM VEHICLE/NOT ATTACHED
9,5-12-2022 8:24 AM,Wilmington Police,1300 BLOCK 4TH ST,DAMAGE/PRIVATE PROPERTY
10,5-12-2022 6:56 AM,Wilmington Police,200 BLOCK NE BROOM ST,"ROBBERY/CARJACKING/OTHER WEAPON HIGHWAY,STREET,ALLEY"
11,5-11-2022 11:31 PM,Wilmington Police,800 BLOCK 17TH ST,VEHICLE THEFT LOCALLY STOLEN-LOCALLY RECOVER
12,5-11-2022 11:07 PM,Wilmington Police,300 BLOCK N E 23RD ST,AGGRAVATED ASSAULT/NON-FAMILY FIREARM
13,5-11-2022 5:52 PM,Wilmington Police,1100 BLOCK WEST ST,LARCENY/FROM VEHICLE/NOT ATTACHED
14,5-11-2022 5:16 PM,Wilmington Police,600 BLOCK 8TH ST,LARCENY/FROM VEHICLE/NOT ATTACHED
0,5-11-2022 4:31 PM,Wilmington Police,000 BLOCK JACKSON ST,BURGLARY/NO FORCED ENTRY/RESIDENCE
1,5-11-2022 4:25 PM,Delaware State Police,800 BLOCK NE PHILADELPHIA PIKE,LARCENY/SHOPLIFTING
2,5-11-2022 4:18 PM,Wilmington Police,600 BLOCK MARKET ST,SIMPLE ASSAULT/NON-FAMILY/OTHER ASSAULTS/NON-AGGRAVATED
3,5-11-2022 3:47 PM,Wilmington Police,200 BLOCK 28TH ST,ROBBERY/CARJACKING/GUN HIGHWAY/STREET/ALLEY
4,5-11-2022 3:41 PM,Delaware State Police,4000 BLOCK N NEW CASTLE AVE,LARCENY/FROM ALL OTHER YARDS
5,5-11-2022 2:49 PM,Wilmington Police,100 BLOCK N DELAMORE PL,ROBBERY/CARJACKING/GUN HIGHWAY/STREET/ALLEY
6,5-11-2022 1:38 PM,Wilmington Police,1300 BLOCK KING ST,DAMAGE/BUSINESS PROPERTY
7,5-11-2022 11:37 AM,Delaware State Police,5100 BLOCK NE NORTHEAST BLVD,INTIMIDATION/RECKLESS ENDANGER/TERRORISTIC THREAT/HARASSMENT/OTHER ASSAULTS/NON-AGGRAVATED
8,5-11-2022 10:14 AM,Wilmington Police,700 BLOCK W VAN BUREN ST,LARCENY/FROM VEHICLE/NOT ATTACHED
9,5-11-2022 10:09 AM,Delaware State Police,4400 BLOCK W GOV PRINTZ BLVD,LARCENY/SHOPLIFTING
10,5-11-2022 9:45 AM,Delaware State Police,3200 BLOCK KIRKWOOD HWY,LARCENY/SHOPLIFTING
11,5-11-2022 9:34 AM,Delaware State Police,GEMAY DR,LARCENY/FROM ALL OTHER YARDS
12,5-11-2022 9:17 AM,Wilmington Police,800 BLOCK BROOM ST,LARCENY/FROM VEHICLE/NOT ATTACHED
13,5-11-2022 8:50 AM,Wilmington Police,600 BLOCK N FRANKLIN ST,ROBBERY/CARJACKING/GUN HIGHWAY/STREET/ALLEY
14,5-10-2022 8:28 PM,Delaware State Police,3500 BLOCK MILLER RD,VEHICLE THEFT
0,5-10-2022 5:40 PM,Wilmington Police,400 BLOCK 3RD ST,POSSESSION OF WEAPON
1,5-10-2022 5:00 PM,Delaware State Police,1200 BLOCK CENTERVILLE RD,LARCENY/SHOPLIFTING
2,5-10-2022 4:48 PM,Delaware State Police,3600 BLOCK MILLER RD,LARCENY/FROM BUILDING
3,5-10-2022 4:27 PM,Wilmington Police,1200 BLOCK S 5TH ST,AGGRAVATED ASSAULT/NON-FAMILY FIREARM
4,5-10-2022 2:48 PM,Wilmington Police,500 BLOCK 29TH ST,LARCENY/FROM VEHICLE/NOT ATTACHED
5,5-10-2022 1:25 PM,Delaware State Police,3200 BLOCK W KIRKWOOD HWY,LARCENY/SHOPLIFTING
6,5-10-2022 12:44 PM,Wilmington Police,100 BLOCK 10TH ST,DISORDERLY CONDUCT/UNRELATED TO LIQUOR
7,5-10-2022 10:08 AM,Wilmington Police,2700 BLOCK SE 6TH ST,VEHICLE THEFT LOCALLY STOLEN-LOCALLY RECOVER
8,5-10-2022 9:16 AM,Wilmington Police,500 BLOCK SW HIGH SPEED WAY,LARCENY/FROM ALL OTHER YARDS
9,5-10-2022 7:39 AM,Wilmington Police,500 BLOCK S SHIPLEY ST,BURGLARY/NO FORCED ENTRY/NONRESIDENCE
10,5-10-2022 1:30 AM,Delaware State Police,100 BLOCK 9TH ST,LARCENY/FROM VEHICLE/NOT ATTACHED
0,5-24-2022 9:56 PM,Wilmington Police,800 BLOCK N ORANGE ST,AGGRAVATED ASSAULT/NON-FAMILY KNIFE/CUTTING INSTRUMENT
1,5-24-2022 9:34 PM,Wilmington Police,100 BLOCK N 23RD ST,SIMPLE ASSAULT/NON-FAMILY/OTHER ASSAULTS/NON-AGGRAVATED
2,5-24-2022 8:58 PM,Wilmington Police,700 BLOCK HARRISON ST,SIMPLE ASSAULT/NON-FAMILY/OTHER ASSAULTS/NON-AGGRAVATED
3,5-24-2022 8:22 PM,Wilmington Police,2400 BLOCK N MADISON ST,LARCENY/FROM BUILDING
4,5-24-2022 7:30 PM,Wilmington Police,1100 BLOCK 2ND ST,"ROBBERY/CARJACKING/STRONG-ARM COMMERCIAL HOUSE(EXCEPT C,D,F)"
5,5-24-2022 1:51 PM,Delaware State Police,3100 BLOCK KENNETT PIKE,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED
6,5-24-2022 11:15 AM,Wilmington Police,1400 BLOCK SW MARYLAND AVE,BURGLARY/NO FORCED ENTRY/RESIDENCE
7,5-24-2022 9:26 AM,Delaware State Police,3000 BLOCK S NEW CASTLE AVE,INTIMIDATION/RECKLESS ENDANGER/TERRORISTIC THREAT/HARASSMENT/OTHER ASSAULTS/NON-AGGRAVATED
8,5-23-2022 11:51 PM,Wilmington Police,800 BLOCK N 8TH ST,AGGRAVATED ASSAULT/NON-FAMILY OTHER DANGEROUS WEAPON
9,5-23-2022 9:09 PM,Wilmington Police,1700 BLOCK N CONRAD ST,CARRYING PROHIBITED
10,5-23-2022 7:02 PM,Wilmington Police,FRANKLIN / BEECH ST & BEECH ST,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED
11,5-23-2022 6:53 PM,Delaware State Police,1700 BLOCK E FAULKLAND RD,LARCENY/SHOPLIFTING
12,5-23-2022 6:28 PM,Delaware State Police,1700 BLOCK E FAULKLAND RD,LARCENY/SHOPLIFTING
13,5-23-2022 5:18 PM,Delaware State Police,300 BLOCK MARYLAND AVE,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED
14,5-23-2022 3:30 PM,Wilmington Police,1300 BLOCK 10TH ST,VEHICLE THEFT
0,5-23-2022 2:37 PM,Wilmington Police,500 BLOCK 35TH ST,SIMPLE ASSAULT/NON-FAMILY/OTHER ASSAULTS/NON-AGGRAVATED
1,5-23-2022 2:16 PM,Wilmington Police,000 BLOCK BANCROFT MILL RD,FRAUD BY WIRE
2,5-23-2022 2:01 PM,Wilmington Police,000 BLOCK 22ND ST,LARCENY/BICYCLES
3,5-23-2022 11:30 AM,Wilmington Police,2500 BLOCK S THATCHER ST,FRAUD/SWINDLE/FLIMFLAM
4,5-23-2022 10:24 AM,Wilmington Police,1600 BLOCK BROOM ST,FRAUD/ILLEGAL USE OF CREDIT CARDS
5,5-23-2022 10:00 AM,Wilmington Police,1300 BLOCK SE CEDAR ST,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED
6,5-23-2022 8:57 AM,Wilmington Police,400 BLOCK MADISON ST,SIMPLE ASSAULT/NON-FAMILY/OTHER ASSAULTS/NON-AGGRAVATED
7,5-23-2022 8:34 AM,Wilmington Police,1000 BLOCK S DELAWARE AVE,LARCENY/SHOPLIFTING
8,5-23-2022 8:06 AM,Wilmington Police,200 BLOCK S 11TH ST,LARCENY/FROM VEHICLE/NOT ATTACHED
9,5-23-2022 8:03 AM,Delaware State Police,1300 BLOCK NW NEWPORT GAP PIKE,LARCENY/VEHICLE PARTS/FROM AUTO/ATTACHED
10,5-23-2022 7:52 AM,Wilmington Police,000 BLOCK VANDEVER AVE,VEHICLE THEFT
11,5-23-2022 7:26 AM,Delaware State Police,800 BLOCK NE PHILADELPHIA PIKE,DAMAGE/PRIVATE PROPERTY
12,5-23-2022 6:28 AM,Wilmington Police,800 BLOCK LOMBARD ST,BURGLARY/NO FORCED ENTRY/RESIDENCE
13,5-23-2022 4:20 AM,Wilmington Police,100 BLOCK S BURTON PL,LARCENY/FROM BUILDING
14,5-23-2022 3:05 AM,Wilmington Police,500 BLOCK N 11TH ST,ROBBERY/CARJACKING/GUN HIGHWAY/STREET/ALLEY
0,5-23-2022 2:47 AM,Wilmington Police,1000 BLOCK N VAN BUREN ST,AGGRAVATED ASSAULT/NON-FAMILY FIREARM
1,5-23-2022 12:24 AM,Wilmington Police,1300 BLOCK CLIFFORD BROWN WALK,AGGRAVATED ASSAULT/NON-FAMILY KNIFE/CUTTING INSTRUMENT
2,5-22-2022 10:48 PM,Delaware State Police,1200 BLOCK CENTERVILLE RD,LARCENY/FROM BUILDING
3,5-22-2022 10:23 PM,Wilmington Police,300 BLOCK 2ND ST,CARRYING A CONCEALED DEADLY WEAPON/DEADLY INSTRUMENT/CCDW/CCDI
4,5-22-2022 8:32 PM,Wilmington Police,200 BLOCK N HARRISON ST,AGGRAVATED ASSAULT/NON-FAMILY FIREARM
5,5-22-2022 7:08 PM,Wilmington Police,800 BLOCK 4TH ST,AGGRAVATED ASSAULT/NON-FAMILY STRONG-ARM/HANDS/FIST/FEET
6,5-22-2022 5:13 PM,Delaware State Police,600 BLOCK MARYLAND AVE,LARCENY/SHOPLIFTING
7,5-22-2022 4:54 PM,Wilmington Police,900 BLOCK PINE ST,LARCENY/FROM ALL OTHER YARDS
8,5-22-2022 4:12 PM,Wilmington Police,2600 BLOCK JEFFERSON ST,DAMAGE/PRIVATE PROPERTY
9,5-22-2022 2:17 PM,Wilmington Police,400 BLOCK 12TH ST,LARCENY/FROM BUILDING
10,5-22-2022 1:17 PM,Wilmington Police,1400 BLOCK N. FRENCH ST,FRAUD/ILLEGAL USE OF CREDIT CARDS
11,5-22-2022 11:45 AM,Wilmington Police,100 BLOCK SE 8TH ST,LARCENY/FROM VEHICLE/NOT ATTACHED
12,5-22-2022 10:43 AM,Wilmington Police,1100 BLOCK NW W. SIXTH ST,LARCENY/FROM VEHICLE/NOT ATTACHED
13,5-22-2022 10:43 AM,Wilmington Police,1100 BLOCK LINDEN ST,DAMAGE/PRIVATE PROPERTY
14,5-22-2022 8:59 AM,Wilmington Police,400 BLOCK SW BROOM ST,LARCENY/FROM VEHICLE/NOT ATTACHED
0,5-22-2022 8:33 AM,Wilmington Police,1100 BLOCK SE CHESTNUT ST,DAMAGE/BUSINESS PROPERTY
1,5-22-2022 8:32 AM,Wilmington Police,300 BLOCK SW TOWNSEND ST,DAMAGE/PRIVATE PROPERTY
2,5-22-2022 3:41 AM,Wilmington Police,800 BLOCK S PINE ST,"ROBBERY/CARJACKING/STRONG-ARM HIGHWAY,STREET,ALLEY"
3,5-22-2022 2:41 AM,Wilmington Police,1200 BLOCK NW LANCASTER AVE,DAMAGE/PRIVATE PROPERTY
4,5-22-2022 2:12 AM,Delaware State Police,"ON NORTHBOUND I-495,VIETNAM VETERANS MEM.HIGHWAY I495 1.17 M",DRIVING UNDER THE INFLUENCE/LIQUOR/DRUGS
5,5-22-2022 1:24 AM,Wilmington Police,ON E. TWELFTH STREET 120.96 FEET SOUTH EAST FROM BRANDYWIN,DRIVING UNDER THE INFLUENCE/LIQUOR
6,5-21-2022 10:54 PM,Wilmington Police,500 BLOCK N MADISON ST,SIMPLE ASSAULT/NON-FAMILY/OTHER ASSAULTS/NON-AGGRAVATED
7,5-21-2022 9:20 PM,Wilmington Police,800 BLOCK S SHIPYARD DR,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED
8,5-21-2022 9:18 PM,Wilmington Police,800 BLOCK N SPRUCE ST,CARRYING PROHIBITED
9,5-21-2022 7:49 PM,Wilmington Police,1000 BLOCK N 25TH ST,SIMPLE ASSAULT/NON-FAMILY/OTHER ASSAULTS/NON-AGGRAVATED
10,5-21-2022 5:53 PM,Wilmington Police,2100 BLOCK NE THATCHER ST,CARRYING PROHIBITED
