,date,agency,location,description
11,12-18-2021 8:24 AM,Wilmington Police,900 BLOCK SW JUSTISON ST,LARCENY/FROM VEHICLE/NOT ATTACHED
12,12-18-2021 8:19 AM,Wilmington Police,1600 BLOCK N CLAYTON ST,VEHICLE THEFT LOCALLY STOLEN-LOCALLY RECOVER
13,12-18-2021 7:43 AM,Wilmington Police,1700 BLOCK SE LANCASTER AVE,LARCENY/FROM VEHICLE/NOT ATTACHED
14,12-18-2021 5:48 AM,Wilmington Police,100 BLOCK 35TH ST,LARCENY/FROM BUILDING
0,12-18-2021 3:19 AM,Wilmington Police,200 BLOCK SE 11TH ST,LARCENY/FROM VEHICLE/NOT ATTACHED
1,12-18-2021 2:26 AM,Wilmington Police,100 BLOCK SE W. NINTH ST,LARCENY/FROM BUILDING
2,12-18-2021 12:43 AM,Wilmington Police,2500 BLOCK SW PINE ST,LARCENY/VEHICLE PARTS/FROM AUTO/ATTACHED
3,12-17-2021 9:52 PM,Wilmington Police,200 BLOCK BROOM ST,ROBBERY/CARJACKING/GUN HIGHWAY/STREET/ALLEY
4,12-17-2021 8:48 PM,Wilmington Police,600 BLOCK VANDEVER AVE,DISORDERLY CONDUCT/UNRELATED TO LIQUOR
5,12-17-2021 8:40 PM,Wilmington Police,100 BLOCK 35TH ST,VEHICLE THEFT LOCALLY STOLEN-RECOVERED OTHER
6,12-17-2021 8:01 PM,Delaware State Police,100 BLOCK SW S. MARYLAND AVE,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED
7,12-17-2021 2:46 PM,Delaware State Police,3200 BLOCK KIRKWOOD HWY,LARCENY/SHOPLIFTING
8,12-17-2021 1:50 PM,Wilmington Police,1800 BLOCK GILPIN AVE,LARCENY/VEHICLE PARTS/FROM AUTO/ATTACHED
9,12-17-2021 12:49 PM,Delaware State Police,4000 BLOCK S NEW CASTLE AVE,DAMAGE/BUSINESS PROPERTY
10,12-17-2021 12:28 PM,Wilmington Police,400 BLOCK S 3RD ST,DAMAGE/PRIVATE PROPERTY
11,12-17-2021 10:39 AM,Wilmington Police,200 BLOCK NE FRANKLIN ST,BURGLARY/FORCED ENTRY/RESIDENCE
12,12-17-2021 9:59 AM,Delaware State Police,1900 BLOCK NE MARYLAND AVE,LARCENY/FROM BUILDING
13,12-17-2021 7:12 AM,Wilmington Police,1500 BLOCK S 8TH ST,LARCENY/FROM VEHICLE/NOT ATTACHED
14,12-17-2021 6:21 AM,Wilmington Police,1000 BLOCK N CLAYTON ST,DAMAGE/PRIVATE PROPERTY
0,12-17-2021 2:18 AM,Wilmington Police,2800 BLOCK LANCASTER AVE,FORCIBLE PURSE SNATCH MISCELLANEOUS
1,12-17-2021 12:38 AM,Wilmington Police,2000 BLOCK PENNSYLVANIA AVE,DAMAGE/PRIVATE PROPERTY
2,12-16-2021 10:48 PM,Wilmington Police,200 BLOCK N HEALD ST,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED
3,12-16-2021 9:37 PM,Delaware State Police,800 BLOCK SW PHILADELPHIA PIKE,ROBBERY/CARJACKING/GUN HIGHWAY/STREET/ALLEY
4,12-16-2021 8:53 PM,Wilmington Police,200 BLOCK NW 24TH ST,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED
5,12-16-2021 7:54 PM,Wilmington Police,2500 BLOCK N 3RD ST,VEHICLE THEFT LOCALLY STOLEN-RECOVERED OTHER
6,12-16-2021 6:35 PM,Wilmington Police,500 BLOCK SE 9TH ST,DAMAGE/PRIVATE PROPERTY
7,12-16-2021 6:33 PM,Wilmington Police,400 BLOCK 7TH ST,CARRYING PROHIBITED
8,12-16-2021 6:16 PM,Wilmington Police,000 BLOCK N 6TH / CHURCH ST,OFFENSIVE TOUCHING/OTHER ASSAULTS/NON-AGGRAVATED
9,12-16-2021 5:10 PM,Wilmington Police,200 BLOCK N 9TH ST,LARCENY/FROM BUILDING
10,12-16-2021 3:52 PM,Wilmington Police,600 BLOCK 26TH ST,LARCENY/FROM VEHICLE/NOT ATTACHED
11,12-16-2021 2:25 PM,Wilmington Police,1200 BLOCK N 12TH ST,LARCENY/FROM MAIL FROM ALL OTHER YARDS
12,12-16-2021 1:19 PM,Wilmington Police,2700 BLOCK SW BROOM ST,LARCENY/FROM VEHICLE/NOT ATTACHED
13,12-16-2021 11:57 AM,Wilmington Police,2100 BLOCK S GILLES ST,LARCENY/FROM VEHICLE/NOT ATTACHED
14,12-16-2021 11:56 AM,Wilmington Police,1200 BLOCK OAK ST,BURGLARY/FORCED ENTRY/RESIDENCE
0,12-16-2021 11:20 AM,Wilmington Police,700 BLOCK N TATNALL ST,CARRYING PROHIBITED
1,12-16-2021 11:02 AM,Delaware State Police,1900 BLOCK NE MARYLAND AVE,LARCENY/FROM BUILDING
2,12-16-2021 9:11 AM,Wilmington Police,4400 BLOCK MARKET ST,LARCENY/FROM ALL OTHER YARDS
3,12-16-2021 6:25 AM,Wilmington Police,700 BLOCK SPRUCE ST,LARCENY/FROM VEHICLE/NOT ATTACHED
4,12-15-2021 11:16 PM,Wilmington Police,200 BLOCK LOMBARD ST,AGGRAVATED ASSAULT/NON-FAMILY FIREARM
5,12-15-2021 11:12 PM,Wilmington Police,600 BLOCK 17TH ST,DAMAGE/BUSINESS PROPERTY
6,12-15-2021 5:00 PM,Wilmington Police,3400 BLOCK FRANKLIN PL,VEHICLE THEFT
7,12-15-2021 4:20 PM,Wilmington Police,200 BLOCK N 4TH ST,DAMAGE/PRIVATE PROPERTY
8,12-15-2021 2:51 PM,Wilmington Police,600 BLOCK HARRISON ST,CARRYING PROHIBITED
9,12-15-2021 2:50 PM,Wilmington Police,700 BLOCK RODNEY ST,LARCENY/FROM ALL OTHER YARDS
10,12-15-2021 2:48 PM,Wilmington Police,800 BLOCK MARYLAND AVE,IMPERSONATION
11,12-15-2021 1:45 PM,Wilmington Police,1600 BLOCK 9TH ST,LARCENY/FROM ALL OTHER YARDS
12,12-15-2021 1:30 PM,Wilmington Police,400 BLOCK MARKET ST,LARCENY/SHOPLIFTING
13,12-15-2021 1:27 PM,Wilmington Police,200 BLOCK SE 29TH ST,LARCENY/FROM ALL OTHER YARDS
14,12-15-2021 12:14 PM,Wilmington Police,2900 BLOCK 2ND ST,DAMAGE/PRIVATE PROPERTY
0,12-15-2021 11:43 AM,Wilmington Police,1600 BLOCK RIVERVIEW AVE,THEFT/FALSE PRETENSE OR PROMISE
1,12-15-2021 7:39 AM,Wilmington Police,300 BLOCK S 12TH ST,DAMAGE/PRIVATE PROPERTY
2,12-15-2021 6:50 AM,Wilmington Police,800 BLOCK BROOM ST,DAMAGE/PRIVATE PROPERTY
3,12-14-2021 11:49 PM,Wilmington Police,1100 BLOCK N CONRAD ST,ILLEGALLY FIRING A WEAPON
4,12-14-2021 11:07 PM,Wilmington Police,500 BLOCK 14TH ST,LARCENY/FROM ALL OTHER YARDS
5,12-14-2021 9:51 PM,Wilmington Police,300 BLOCK UNION ST,DRIVING UNDER THE INFLUENCE/LIQUOR
6,12-14-2021 5:58 PM,Wilmington Police,1000 BLOCK DELAWARE AVE,THEFT/BUS/TRUCK LOCALLY RECOVERED
